colour,description,image_urls,product_name
Sahara Sun ,"The Linen Shirt is an essential Venroy piece, it&#39;s what we are known for. Cut from breathable linen in a warm Sahara Sun hue, it&#39;s tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Lightweight linen shirtComfortable relaxed fitClassic collarPearl shell button fastening and cuffs100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Signature-Shirt-Sahara-Sun.jpg?v=1652072197,Linen Shirt
Ibiza Orchid ,"The Printed Swim Shorts that you love is back this season, patterned in an Ibiza Orchid print. Cut from fast-drying 100% recycled polyester, these swim shorts have an elasticated waistband, mid-thigh length, and a handy back zipped pocket.Solid swim shortCustom designed printEngineered waistbandMid-thigh lengthElasticated waistband with drawcordsSide pocketsBack welt pocket with zipper and embroidered logoMade from 100% Recycled PolyesterCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Printed-Swim-Short-Ibiza-Orchid.jpg?v=1656384329,Printed Swim Short
Slate Rose ,"The Solid Swim Short in Slate Rose is a classic, comfortable option, whether you're jumping in the ocean or lounging by the pool. They have an elasticated waistband with contrast drawstring, a mid-thigh length and back welt pocket with handy zipper to keep your keys safe.

Solid swim short
Mid thigh length
Elasticated waistband with drawcords
Side pockets
Mesh lining
Back welt pocket with zipper and embroidered logo
100% Recycled Polyester
Cold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Solid-Swim-Short-Slate-Rose.1.jpg?v=1646188679,Solid Swim Short
Cherry Apricot Tie Dye Stripe ,"The Printed Swim Shorts that you love is back this season, patterned in a cherry and apricot tie dye stripe. Cut from fast-drying 100% recycled polyester, these swim shorts have an elasticated waistband, mid-thigh length, and a handy back zipped pocket.Solid swim shortCustom designed printMid-thigh lengthElasticated waistband with drawcordsSide pocketsBack welt pocket with zipper and embroidered logoMade from 100% Recycled PolyesterCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Printed-Swim-Short-Cherry-Apricot-Tie-Dye-Stripe.jpg?v=1656384330,Printed Swim Short
Chartreuse ,"The Linen Shirt is an essential Venroy piece, it&#39;s what we are known for. Cut from breathable linen in a bold chartreuse hue, it&#39;s tailored with a classic collar, relaxed comfortable fit, and finished with lustrous mother-of-pearl buttons. Team it with everything from lounge pants to swim shorts.Lightweight linen shirtComfortable relaxed fitClassic collarPearl shell button fastening and cuffs100% LinenCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Venroy-Mens-Signature-Shirt-Chartreuce.jpg?v=1646188095,Linen Shirt
Sage V Monogram ,"The Printed Swim Shorts that you love is back this season, patterned in our signature Sage V monogram. Cut from fast-drying 100% recycled polyester, these swim shorts have an elasticated waistband, mid-thigh length, and a handy back zipped pocket.Printed&nbsp;swim shortCustom designed printMid-thigh lengthElasticated waistband with drawcordsSide pocketsBack welt pocket with zipper and embroidered logoMade from 100% Recycled PolyesterCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Printed-Swim-Short-Sage-V-Monogram.jpg?v=1656384331,Printed Swim Short
Navy/Piping ,"The Solid Stretch Swim Short in Navy is a swim classic whether you are heading for a swim in the ocean or lounging by the pool. Cut from a quick-dry recycled poly-blend, these short has an elasticated waist with contrast drawcords and piping detail down the side, mesh lining for comfort, and practical pockets at the side and back.Solid stretch swim shortElasticated waist with drawcordsMid-thigh lengthContrast piping detail down the sideMesh liningSide pocketsBack welt pocket with zipper and embroidered logo97% Recycled Polyester and 3% SpandexCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Solid-Stretch-Swim-Short-Navy-Piping.jpg?v=1656384330,Solid Stretch Swim Short
Black ,"The Buckle Swim Short in black is a new cut this season. Cut from a textured seersucker poly-nylon blend, they have an elasticated waistband with an adjustable belt buckle fastening, a mid-thigh length and a back welt pocket. A comfortable option, whether you&#39;re jumping in the ocean or lounging by the pool.Black buckle swim shortsTextured seersucker fabricationMid-thigh lengthElasticated waistband with adjustable belt buckleMesh liningSide and back pockets60% Polyester and 40% NylonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Buckle-Swim-Short-Black.jpg?v=1646188682,Buckle Swim Short
Rust Seersucker ,"The Snaplock Swim Short is back this season in a new Rust Seersucker fabrication. These swim shorts have a functional fly and fix waistband with a snaplock, mid-thigh length, and new back pockets with a zipper closure.Snaplock swim shortCustom rust and black seersucker fabricationMid-thigh lengthFixed waistband with snaplock closureMesh liningSide pocketsBack welt pocket with zipper and embroidered logo60% Polyester and 40% NylonCold machine wash on a delicate cycle",https://cdn.shopify.com/s/files/1/2129/8823/products/Seersucker-Snaplock-Swim-Short-Rust-Seersucker.jpg?v=1646188680,Seersucker Snaplock Swim Short
Black ,"The Solid Snaplock Swim Short in Black will be a favourite swimming in oceans near and far. They have a functional fly and fix waistband with a snaplock, mid-thigh length and new back pockets with a zipper closure.Snaplock swim shortMid-thigh lengthFixed waistband with snaplock closureMesh liningSide pocketsBack welt pocket with zipper and embroidered logo100% Recycled NylonCold machine wash",https://cdn.shopify.com/s/files/1/2129/8823/products/Solid-Snaplock-Swim-Short-Blackcopy.jpg?v=1656384329,Solid Snaplock Swim Short
